time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1609059015.27365613,0.04428204,0.03090404,-nan,4318.00000000,0.04428204,0.000000,0.000000
1609059015.36864400,0.03093464,0.01437249,-nan,8282.00000000,0.01758723,0.000000,0.000000
1609059015.47962976,0.02555036,0.01113526,-nan,7463.00000000,0.01478181,0.000000,0.000000
1609059015.57450771,0.03499987,0.00553757,0.00000362,7628.00000000,0.06334839,0.000000,0.000000
1609059015.66840243,0.03665947,0.00531257,0.00000229,8015.00000000,0.04329790,0.000000,0.000000
1609059015.78040957,0.03823148,0.00519946,0.00000248,8454.00000000,0.04609149,0.000000,0.000000
1609059015.87370133,0.03960877,0.00510582,0.00000270,8697.00000000,0.04787254,0.000000,0.000000
1609059015.96858978,0.04249008,0.00558180,0.00000346,8763.00000000,0.06265923,0.000000,0.000000
1609059016.08028245,0.04284880,0.00456040,0.00000251,8883.00000000,0.04571856,0.000000,0.000000
1609059016.17334461,0.04295356,0.00468829,0.00000244,9190.00000000,0.04389646,0.000000,0.000000
1609059016.26822948,0.04448691,0.00493636,0.00000335,9360.00000000,0.05982039,0.000000,0.000000
1609059016.37920904,0.04443464,0.00449401,0.00000238,9604.00000000,0.04385962,0.000000,0.000000
1609059016.47289062,0.04425887,0.00426100,0.00000233,9756.00000000,0.04214962,0.000000,0.000000
1609059016.56780338,0.04546943,0.00443071,0.00000349,9828.00000000,0.06120670,0.000000,0.000000
1609059016.67917752,0.04536304,0.00429558,0.00000238,10100.00000000,0.04387357,0.000000,0.000000
1609059016.77332854,0.04547921,0.00417004,0.00000271,10341.00000000,0.04722188,0.000000,0.000000
1609059016.86816621,0.04686039,0.00417702,0.00000394,10536.00000000,0.06895925,0.000000,0.000000
1609059016.97961664,0.04670168,0.00416709,0.00000241,10684.00000000,0.04400359,0.000000,0.000000
1609059017.07384801,0.04643697,0.00436190,0.00000231,10712.00000000,0.04167220,0.000000,0.000000
1609059017.16854429,0.04708229,0.00398975,0.00000339,10390.00000000,0.05934323,0.000000,0.000000
