time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577836979.79960704,0.02559418,0.01527881,-nan,2860.00000000,0.02559418,0.000000,0.000000
1577836979.89944291,0.01855718,0.00972331,-nan,5717.00000000,0.01152019,0.000000,0.000000
1577836979.99928021,0.01677694,0.01050487,-nan,4792.00000000,0.01321646,0.000000,0.000000
1577836980.09991503,0.01495055,0.00720328,-nan,5491.00000000,0.00947139,0.000000,0.000000
1577836980.19976902,0.01448795,0.00930048,-nan,5936.00000000,0.01263753,0.000000,0.000000
1577836980.29959798,0.01559314,0.00524304,0.00000437,6339.00000000,0.02111912,0.000000,0.000000
1577836980.39945602,0.01562085,0.00500177,0.00000281,6664.00000000,0.01578706,0.000000,0.000000
1577836980.49929190,0.01657160,0.00554219,0.00000405,6794.00000000,0.02322691,0.000000,0.000000
1577836980.59993601,0.01747314,0.00629117,0.00000427,7165.00000000,0.02468542,0.000000,0.000000
1577836980.69978285,0.01808816,0.00595598,0.00000454,7325.00000000,0.02362336,0.000000,0.000000
1577836980.79962015,0.01803548,0.00428428,0.00000333,7508.00000000,0.01750870,0.000000,0.000000
1577836980.89947104,0.01835281,0.00611921,0.00000403,7670.00000000,0.02184340,0.000000,0.000000
1577836980.99931002,0.01899835,0.00483270,0.00000529,7705.00000000,0.02674484,0.000000,0.000000
1577836981.09994102,0.01891480,0.00368479,0.00000336,7945.00000000,0.01782871,0.000000,0.000000
1577836981.19979382,0.02028486,0.00669140,0.00000809,7986.00000000,0.03946563,0.000000,0.000000
1577836981.29963589,0.02010170,0.00368662,0.00000331,8042.00000000,0.01735432,0.000000,0.000000
1577836981.39946699,0.01992711,0.00422016,0.00000368,8252.00000000,0.01713358,0.000000,0.000000
1577836981.49928093,0.01966173,0.00485725,0.00000272,8433.00000000,0.01515025,0.000000,0.000000
1577836981.59990597,0.01957030,0.00426908,0.00000360,8592.00000000,0.01792463,0.000000,0.000000
1577836981.69974613,0.01941302,0.00404995,0.00000338,8673.00000000,0.01642469,0.000000,0.000000
1577836981.79958701,0.01956845,0.00489122,0.00000457,8679.00000000,0.02267717,0.000000,0.000000
1577836981.89942408,0.01952228,0.00398339,0.00000369,8807.00000000,0.01855254,0.000000,0.000000
